Car ID, 1, Car TripT, 9.73, Car DT, 9.73, Car AT, 0.00
Car ID, 2, Car TripT, 9.72, Car DT, 24.00, Car AT, 14.28
Car ID, 3, Car TripT, 9.72, Car DT, 38.28, Car AT, 28.57
Car ID, 4, Car TripT, 9.72, Car DT, 52.57, Car AT, 42.85
Car ID, 5, Car TripT, 9.72, Car DT, 66.85, Car AT, 57.13
Car ID, 6, Car TripT, 9.72, Car DT, 81.13, Car AT, 71.42
Car ID, 7, Car TripT, 9.72, Car DT, 95.42, Car AT, 85.70
Car ID, 8, Car TripT, 9.72, Car DT, 109.70, Car AT, 99.98
Car ID, 9, Car TripT, 9.72, Car DT, 123.98, Car AT, 114.27
Car ID, 10, Car TripT, 9.72, Car DT, 138.27, Car AT, 128.55
Car ID, 11, Car TripT, 9.72, Car DT, 152.55, Car AT, 142.83
Car ID, 12, Car TripT, 9.72, Car DT, 166.83, Car AT, 157.12
Car ID, 13, Car TripT, 9.72, Car DT, 181.12, Car AT, 171.40
Car ID, 14, Car TripT, 9.72, Car DT, 195.40, Car AT, 185.68
Car ID, 15, Car TripT, 9.72, Car DT, 209.68, Car AT, 199.97
Car ID, 16, Car TripT, 9.72, Car DT, 223.97, Car AT, 214.25
Car ID, 17, Car TripT, 9.72, Car DT, 238.25, Car AT, 228.53
Car ID, 18, Car TripT, 9.72, Car DT, 252.53, Car AT, 242.82
Car ID, 19, Car TripT, 9.72, Car DT, 266.82, Car AT, 257.10
Car ID, 20, Car TripT, 9.72, Car DT, 281.10, Car AT, 271.38
Car ID, 21, Car TripT, 9.72, Car DT, 295.38, Car AT, 285.67
Car ID, 22, Car TripT, 9.72, Car DT, 309.67, Car AT, 299.95
Car ID, 23, Car TripT, 9.72, Car DT, 323.95, Car AT, 314.23
Car ID, 24, Car TripT, 9.72, Car DT, 338.23, Car AT, 328.52
Car ID, 25, Car TripT, 9.72, Car DT, 352.52, Car AT, 342.80
Car ID, 26, Car TripT, 9.72, Car DT, 366.80, Car AT, 357.08
Car ID, 27, Car TripT, 9.72, Car DT, 381.08, Car AT, 371.37
Car ID, 28, Car TripT, 9.72, Car DT, 395.37, Car AT, 385.65
Car ID, 29, Car TripT, 9.72, Car DT, 409.65, Car AT, 399.93
Car ID, 30, Car TripT, 9.72, Car DT, 423.93, Car AT, 414.22
Car ID, 31, Car TripT, 9.72, Car DT, 438.22, Car AT, 428.50
Car ID, 32, Car TripT, 9.72, Car DT, 452.50, Car AT, 442.78
Car ID, 33, Car TripT, 9.72, Car DT, 466.78, Car AT, 457.07
Car ID, 34, Car TripT, 9.72, Car DT, 481.07, Car AT, 471.35
Car ID, 35, Car TripT, 9.72, Car DT, 495.35, Car AT, 485.63
Car ID, 36, Car TripT, 9.72, Car DT, 509.63, Car AT, 499.92
Car ID, 37, Car TripT, 9.72, Car DT, 523.92, Car AT, 514.20
Car ID, 38, Car TripT, 9.72, Car DT, 538.20, Car AT, 528.48
Car ID, 39, Car TripT, 9.72, Car DT, 552.48, Car AT, 542.77
Car ID, 40, Car TripT, 9.72, Car DT, 566.77, Car AT, 557.05
Car ID, 41, Car TripT, 9.72, Car DT, 581.05, Car AT, 571.33
Car ID, 42, Car TripT, 9.72, Car DT, 595.33, Car AT, 585.62
Car ID, 43, Car TripT, 9.72, Car DT, 609.62, Car AT, 599.90
Car ID, 44, Car TripT, 9.72, Car DT, 623.90, Car AT, 614.18
Car ID, 45, Car TripT, 9.72, Car DT, 638.18, Car AT, 628.47
Car ID, 46, Car TripT, 9.72, Car DT, 652.47, Car AT, 642.75
Car ID, 47, Car TripT, 9.72, Car DT, 666.75, Car AT, 657.03
Car ID, 48, Car TripT, 9.72, Car DT, 681.03, Car AT, 671.32
Car ID, 49, Car TripT, 9.72, Car DT, 695.32, Car AT, 685.60
Car ID, 50, Car TripT, 9.72, Car DT, 709.60, Car AT, 699.88
Car ID, 51, Car TripT, 9.72, Car DT, 723.88, Car AT, 714.17
Car ID, 52, Car TripT, 9.72, Car DT, 738.17, Car AT, 728.45
Car ID, 53, Car TripT, 9.72, Car DT, 752.45, Car AT, 742.73
Car ID, 54, Car TripT, 9.72, Car DT, 766.73, Car AT, 757.02
Car ID, 55, Car TripT, 9.72, Car DT, 781.02, Car AT, 771.30
Car ID, 56, Car TripT, 9.72, Car DT, 795.30, Car AT, 785.58
Car ID, 57, Car TripT, 9.72, Car DT, 809.58, Car AT, 799.87
Car ID, 58, Car TripT, 9.72, Car DT, 823.87, Car AT, 814.15
Car ID, 59, Car TripT, 9.72, Car DT, 838.15, Car AT, 828.43
Car ID, 60, Car TripT, 9.72, Car DT, 852.43, Car AT, 842.72
